Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,18190413832,20203572960,20564485419,20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237
Albania,12890760273,12319834233,12776224537,13228147516,11386853143,11861199831,13019726212,15156424062,15401826081,15162734205,17930565119
Algeria,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.74911E+11,1.7176E+11,1.45744E+11,1.63472E+11
Andorra,3629133575,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3325145407
Angola,1.09437E+11,1.24998E+11,1.33402E+11,1.37244E+11,87219300385,49840491178,68972769396,77792944472,69309110146,50241368244,65685435100
Antigua and Barbuda,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467955556,1604770370,1675403704,1416348148,1560518519
Argentina,5.30158E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.8554E+11,4.87227E+11
Armenia,10142111812,10619320693,11121464430,11609513241,10553337528,10546136240,11527458713,12457940705,13619290546,12641698594,13861409969
Aruba,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3276187709,3395793855,2610038939,3126019385
Australia,1.39846E+12,1.54695E+12,1.57633E+12,1.46759E+12,1.35058E+12,1.20656E+12,1.32647E+12,1.42827E+12,1.39222E+12,1.32694E+12,1.5527E+12
Austria,4.31685E+11,4.09402E+11,4.30191E+11,4.42585E+11,3.81971E+11,3.95837E+11,4.17261E+11,4.54991E+11,4.44621E+11,4.35225E+11,4.80368E+11
Azerbaijan,65952763949,69679913510,74160553009,75239737489,53076244755,37867007023,40866632048,47112479289,48174235294,42693000000,54825411765
"Bahamas, The",10070450000,10720500000,10562800000,11176100000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000,11527600000
Bahrain,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37802005319,38653318085,34621807713,39303403989
Bangladesh,1.28638E+11,1.33356E+11,1.49991E+11,1.72885E+11,1.95079E+11,2.65236E+11,2.93755E+11,3.21379E+11,3.51238E+11,3.73902E+11,4.16265E+11
Barbados,4657699450,4610096000,4677248300,4696344350,4724691200,4832811750,4981588900,5097283200,5324250000,4671800000,4843800000
Belarus,61762340943,65685903570,75527537703,78812785768,56454895055,47723549319,54725311690,60031163987,64410112583,61371755326,69673747132
Belgium,5.2333E+11,4.96153E+11,5.21791E+11,5.3539E+11,4.62336E+11,4.76063E+11,5.02765E+11,5.43299E+11,5.35866E+11,5.25213E+11,5.94352E+11
Belize,1819500000,1903000000,2029500000,2138000000,2210500000,2258500000,2286000000,2315000000,2416500000,2080000000,2491500000
Benin,10693321370,11141358106,12517845128,13284527850,11388160997,11821065852,12701655846,14262408080,14391686309,15651545209,17690083520
Bermuda,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7127200000
Bhutan,1777102586,1781280170,1756214304,1907090362,2003596824,2158971718,2450366108,2446867582,2535655609,2325185521,2539551327
Bolivia,23963162969,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806,40408208524
Bosnia and Herzegovina,18644239028,17226736285,18179104549,18558731213,16404352156,17116926092,18326376394,20484048416,20482603346,20226030731,23649566069
Botswana,15110642876,13907464500,14271738367,15470087926,13530749290,15082636723,16105156376,17031943186,16725908662,14960291541,18737066307
Brazil,2.61616E+12,2.46523E+12,2.47282E+12,2.45604E+12,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87329E+12,1.47611E+12,1.64962E+12
Brunei,18525128230,19048443089,18094326393,17097801092,12930292949,11400467372,12128182464,13567164445,13469240163,12005795915,14006497000
Bulgaria,57735709914,54290156342,55844245264,57159557805,50828088836,53987487124,59343060706,66399602077,68911930628,70404359049,84061395658
Burkina Faso,12080295985,12561015145,13444300490,13943016080,11832159316,12833363044,14106955625,15890066210,16178161666,17933606213,19737616003
Burundi,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586962,2667182199,2576518879,2649680261,2775798697
Cambodia,12829541141,14054443213,15227991395,16702610842,18049954289,20016747858,22177200589,24571753582,27089390033,25872797892,26961061152
Cameroon,30630910513,30155062303,33728621190,36386544716,32210233022,33814337041,36098547059,39973842059,39670976440,40773241212,45338285386
Canada,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.7253E+12,1.74373E+12,1.6476E+12,2.00149E+12
Cape Verde,2046817975,1913081206,2028910915,2041930125,1749857628,1849789993,1996741545,2205099509,2266752197,1878277311,2091741774
Cayman Islands,4186073160,4291004486,4405796081,4562853582,4708167255,4909322200,5166281293,5530178499,5941896600,5647224973,6028373541
Central African Republic,2437982707,2510126510,1691544111,1894813390,1695825714,1825018144,2072349974,2220979145,2221301351,2326720902,2516498412
Chad,12172308858,12367362746,12953534870,13940767222,10950392257,10097778097,10000394388,11239167890,11314951088,10715396051,11779981332
Chile,2.51225E+11,2.67176E+11,2.77239E+11,2.59405E+11,2.42497E+11,2.49299E+11,2.76365E+11,2.95403E+11,2.78493E+11,2.54096E+11,3.16714E+11
China,7.55155E+12,8.53219E+12,9.57047E+12,1.04756E+13,1.10616E+13,1.12333E+13,1.23105E+13,1.38949E+13,1.428E+13,1.46877E+13,1.78205E+13
Colombia,3.34966E+11,3.70691E+11,3.82094E+11,3.81241E+11,2.93492E+11,2.8272E+11,3.11867E+11,3.34198E+11,3.23032E+11,2.70151E+11,3.18512E+11
Comoros,1023086273,1015843491,1116224107,1149587660,966029599.8,1012835493,1077439756,1188797450,1195019531,1225039196,1296089479
"Congo, Rep.",15655383586,17692911281,17958720704,17912907682,11890259177,10219341017,11094823677,13670038020,12750338736,10483151094,13366230821
Costa Rica,42762613706,47231655433,50949668886,52016408924,56441920824,58847019585,60516044623,62420164965,64417670556,62395610764,64616482168
Cote d'Ivoire,36693710822,36302302844,42760235496,48843005625,45815005171,48407761032,52512344034,58522477745,59898479821,62982768372,71811075955
Croatia,62599775593,57231455635,59363124069,59214461630,50742086223,52391038979,55937483558,61330483610,61329267533,57624938982,68843674641
Cuba,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.0005E+11,1.03428E+11,1.07352E+11,
Cyprus,27641551809,25047433100,23959708956,23225912183,19909269065,21046452117,22946583376,25597301191,25945194240,25008266159,28408064462
Czech Republic,2.29563E+11,2.08858E+11,2.11686E+11,2.09359E+11,1.88033E+11,1.96272E+11,2.18629E+11,2.49001E+11,2.52548E+11,2.45975E+11,2.81791E+11
Denmark,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11,3.32121E+11,3.56841E+11,3.46499E+11,3.55222E+11,3.98303E+11
Djibouti,1239144502,1353632942,2042817163,2214679081,2424391785,2604955229,2762581334,2913466732,3088853639,3181071154,3372287462
Dominica,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,521551851.9,554770370.4,611537037,504214814.8,555266666.7
Dominican Republic,58029773802,60681535894,62682158700,67179956265,71164826720,75704647977,79998045976,85555390386,88941371980,78844655833,94243426487
Ecuador,79276664000,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.07562E+11,1.08108E+11,99291124000,1.06166E+11
"Egypt, Arab Rep.",2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11,3.32442E+11,2.48363E+11,2.62589E+11,3.18679E+11,3.83818E+11,4.24672E+11
El Salvador,20283780000,21386150000,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24930080000,29451240000
Eritrea,2065001626,,,,,,,,,,
Estonia,23213994093,23019150071,25115753366,26634083965,22890762090,24072829277,26924385103,30624720196,31081901909,31370395573,37191166152
Eswatini,4820478592,4886551706,4597552949,4422986447,4063245671,3816019223,4402969226,4666598024,4466214522,3982236726,4748702401
Ethiopia(excludes Eritrea),31952763089,43310721414,47648276190,55612228234,64589329345,74296745599,81770886909,84269196152,95912607970,1.07658E+11,1.11262E+11
Faeroe Islands,2505740886,2427200583,2690110671,2914012852,2573906036,2813278761,2980057168,3188601035,3275684065,3248670978,3649878680
Fiji,3779412255,3972028510,4189968870,4857103847,4682480304,4930213788,5353468388,5581425891,5481692622,4477030180,4296235428
Finland,2.75604E+11,2.5829E+11,2.71362E+11,2.74863E+11,2.34534E+11,2.40771E+11,2.55648E+11,2.75708E+11,2.68515E+11,2.71886E+11,2.96388E+11
Fm Sudan,78402841445,63196236489,66027147865,76818773785,84984672416,1.02944E+11,1.29719E+11,32333780383,32338079165,27034593750,34229513775
France,2.86516E+12,2.68367E+12,2.81188E+12,2.85596E+12,2.43919E+12,2.47296E+12,2.59515E+12,2.79096E+12,2.72887E+12,2.63901E+12,2.95788E+12
French Polynesia,6203940049,5692858094,6031827089,6151996535,5325846342,5497036487,5833352684,6135116261,6022276207,5731835679,6080359305
Gabon,18210307754,17170464001,17595744804,18203966900,14383107763,14023890264,14929487496,16867326390,16874405460,15314577168,20217946921
"Gambia, The",1409693594,1415004743,1375609460,1229461732,1378176606,1484578897,1504909448,1670671340,1813609679,1812170878,2038414974
Georgia,15107482383,16488819133,17190068236,17627336228,14953675993,15141598623,16242647230,17596922470,17470436259,15842922533,18629365612
Germany,3.74931E+12,3.52714E+12,3.7338E+12,3.88909E+12,3.35759E+12,3.46985E+12,3.69085E+12,3.97444E+12,3.88823E+12,3.88967E+12,4.25993E+12
Ghana,39336668081,41271708600,62824629066,54783320577,49406014245,56164933479,60405920071,67298913752,68337974419,70043095503,79156409410
Greece,2.82996E+11,2.42029E+11,2.38908E+11,2.35458E+11,1.95684E+11,1.93148E+11,1.99844E+11,2.12049E+11,2.05257E+11,1.88926E+11,2.14874E+11
Greenland,2684461608,2609678695,2684947140,2842065877,2499113085,2707146783,2851610656,3055791341,2997331094,3082909158,3235816195
Grenada,778655555.6,799881481.5,842618518.5,911496296.3,997007407.4,1061640741,1125685185,1166514815,1213485185,1043411111,1122800000
Guatemala,46876004265,49593926849,52996447956,57852150565,62186064719,66053402745,71653756504,73328369926,77172313916,77715183063,86053079767
Guinea,6785137215,7638045226,8376613880,8778473643,8794202395,8595955601,10324668271,11857030366,13442861497,14177835841,16091817842
Guinea-Bissau,1099818592,989271155.1,1046087367,1054915581,1048229633,1179004911,1350177012,1504630234,1439638411,1431758232,1638517607
Guyana,3691384318,4063088529,4167800936,4127660158,4279840194,4482697337,4748174334,4787637006,5173760192,5471256595,8044498801
Honduras,17710275997,18528554861,18499729063,19756533658,20979791685,21717604581,23136248046,24067750466,25089937109,23827859695,28488721296
"Hong Kong, China",2.48514E+11,2.62629E+11,2.75697E+11,2.9146E+11,3.09386E+11,3.2086E+11,3.41273E+11,3.61731E+11,3.63075E+11,3.44943E+11,3.68911E+11
Hungary,1.41942E+11,1.28814E+11,1.35684E+11,1.41034E+11,1.25174E+11,1.2861E+11,1.43112E+11,1.60566E+11,1.6402E+11,1.57227E+11,1.82275E+11
Iceland,15221622926,14751508134,16125060515,17867662178,17517210519,20793168031,24728285177,26260850582,24663643102,21553080484,25552639899
India,1.82305E+12,1.82764E+12,1.85672E+12,2.03913E+12,2.10359E+12,2.2948E+12,2.65147E+12,2.70293E+12,2.83561E+12,2.6716E+12,3.15031E+12
Indonesia,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,8.60854E+11,9.31877E+11,1.01562E+12,1.04227E+12,1.1191E+12,1.05905E+12,1.18651E+12
"Iran, Islamic Rep.",6.26133E+11,6.44036E+11,4.92776E+11,4.60383E+11,4.08213E+11,4.57955E+11,4.8663E+11,3.27901E+11,2.8365E+11,2.39735E+11,3.59097E+11
Iraq,1.8575E+11,2.18002E+11,2.34638E+11,2.28416E+11,1.66774E+11,1.66602E+11,1.87218E+11,2.27367E+11,2.33636E+11,1.80924E+11,2.07692E+11
Ireland,2.39003E+11,2.25629E+11,2.38341E+11,2.59171E+11,2.91775E+11,2.99091E+11,3.36378E+11,3.85737E+11,3.99322E+11,4.25852E+11,5.04183E+11
Israel,2.66792E+11,2.62282E+11,2.97733E+11,3.1433E+11,3.03414E+11,3.22103E+11,3.58245E+11,3.76692E+11,4.02471E+11,4.13268E+11,4.88527E+11
Italy,2.29499E+12,2.08696E+12,2.14192E+12,2.16201E+12,1.83664E+12,1.87707E+12,1.9618E+12,2.09193E+12,2.0113E+12,1.89721E+12,2.11436E+12
Jamaica,14444661488,14807086491,14264205124,13899225340,14188938781,14077105503,14808984881,15730791526,15830766372,13812421859,14657586359
Japan,6.23315E+12,6.27236E+12,5.21233E+12,4.89699E+12,4.44493E+12,5.00368E+12,4.93084E+12,5.04088E+12,5.11799E+12,5.04879E+12,5.00554E+12
Jordan,29524149155,31634561690,34454440141,36847643521,38587017887,39892551127,41608435915,43370860704,44503005775,43579916197,45116317042
Kazakhstan,1.92626E+11,2.07999E+11,2.36635E+11,2.21416E+11,1.84388E+11,1.37278E+11,1.66806E+11,1.7934E+11,1.81667E+11,1.71082E+11,1.97112E+11
Kenya,46869473166,56396704833,61671440481,68285796663,70120446664,74815143796,82036511259,92202979941,1.00378E+11,1.00658E+11,1.09704E+11
Kiribati,180672664.8,189629948.8,184543103.7,177868153.1,170292283.2,178507958.1,188540699.1,196501504.2,175181684.8,177553260.1,227610034.8
"Korea, Rep.",1.25322E+12,1.27843E+12,1.3708E+12,1.48432E+12,1.46577E+12,1.50011E+12,1.6239E+12,1.72485E+12,1.65142E+12,1.64431E+12,1.81096E+12
Kuwait,1.5408E+11,1.74048E+11,1.74168E+11,1.6265E+11,1.14586E+11,1.09406E+11,1.20688E+11,1.38202E+11,1.36192E+11,1.05949E+11,1.36797E+11
Kyrgyz Republic,6197765942,6605142864,7335033799,7468102369,6678177483,6813095396,7702938395,8271106196,8871019823,7780873259,8740681889
Lao PDR,8750107402,10192848926,11983252627,13279248479,14426381187,15912495369,17071162084,18141651381,18740559554,18981800705,18827148530
Latvia,27474380566,28169902669,30204783462,31386896487,27263090547,28083597512,30483806018,34429023435,34343961073,34601740323,39725383601
Lebanon,39927125961,44016799516,46880103081,48095213746,49929337837,51147308774,53027680686,54901519156,51605959131,31712128254,23131941557
Lesotho,2579421686,2477702253,2367113170,2441063169,2359754088,2114426469,2306741599,2556247156,2436029588,2117736528,2373416269
Libya,48169243832,92540964666,75351117628,57372352562,48717506273,49912085228,67157451660,76686048499,69254143968,46808208747,39798423941
Lithuania,43535051482,42927454291,46523420074,48533659592,41435533340,43047309306,47758736932,53751411409,54760617013,56914826861,66414994992
Luxembourg,61696281326,59776383527,65203276467,68804811898,60071584216,62216885436,65712180343,71000359760,69825641851,73992591285,85506243834
Macao,36845887225,43189724080,51536592939,54902831794,45048188248,45070807280,50440935654,55284309690,55204961000,25459685020,30123795337
Madagascar,11551819618,11578975064,12423555457,12522957401,11323020700,11848613860,13176313594,13760033283,14104664678,13051441203,14554754115
Malawi,11648142958,8773203178,8031571928,8801326169,9219474373,7909868618,8943543677,9880675786,11025371147,12056108780,12602334124
Malaysia,2.97952E+11,3.14443E+11,3.23276E+11,3.38066E+11,3.01355E+11,3.01255E+11,3.19109E+11,3.58789E+11,3.65178E+11,3.37339E+11,3.72981E+11
Maldives,2774350163,2886163938,3295009231,3697353155,4109416450,4379134273,4754185599,5300949823,5609385434,3746329358,5405557162
Mali,12995112698,12442035328,13242690790,14364937128,13104764379,14026048334,15365713059,17070867578,17280250805,17465392779,19309463506
Malta,9638733344,9461826174,10550968139,11625843214,11091467514,11667976403,13489296992,15298004130,15881258056,15046136935,17743376199
Mauritania,6764627666,6728208836,7223071177,6592537782,6166863960,6398741856,6800138755,7473550557,8066118984,8405498736,9996240419
Mauritius,11518413430,11668696526,12292974008,13074130094,12007291046,12594155346,13713505998,14735695931,14436347115,11401040996,11476433604
Mexico,1.18049E+12,1.20109E+12,1.27444E+12,1.31536E+12,1.17187E+12,1.07849E+12,1.15891E+12,1.22241E+12,1.26901E+12,1.09051E+12,1.27284E+12
"Micronesia, Fed. Sts.",311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,412000000,408000000,404028900
Moldova,8414351672,8709138767,9496717701,9399833207,7798692878,7982450758,9519053158,11253727815,11735774634,11531967881,13692230147
Mongolia,10409797375,12292770631,12582122604,12226514666,11619892593,11181350649,11480847740,13178094720,14206359016,13312981427,15286441740
Morocco,1.10081E+11,1.06937E+11,1.15739E+11,1.19131E+11,1.10414E+11,1.11573E+11,1.18541E+11,1.27341E+11,1.2892E+11,1.21348E+11,1.42867E+11
Mozambique,14381552467,16350813487,16974314296,17716091057,15950979333,11936993087,13219079498,14845400593,15390031040,14156864916,15776757420
Myanmar,54118601975,58318677645,60572257122,63264892768,63045306514,60291738935,61449391917,67144726168,68697761477,78930259069,65124769602
Namibia,12523359441,13042053857,12043307277,12435430396,11335161230,10722018975,12895153160,13682019172,12541928103,10583748757,12446290855
Nepal,21573872274,21703100747,22162205046,22731612827,24360801338,24524109485,28971588881,33111525183,34186180695,33433659223,36924841430
